age,year,slip,pop
62,2004,4,4641
62,2005,7,5201
62,2006,2,5252
62,2007,4,5550
62,2008,1,5585
62,2009,4,5753
62,2010,17,5798
62,2011,7,5676
62,2012,6,5519
62,2013,3,5159
62,2014,3,5380
62,2015,4,5652
62,2016,5,5447
63,2001,0,3945
63,2002,0,3937
63,2003,1,4034
63,2004,2,4064
63,2005,5,4550
63,2006,2,5095
63,2007,1,5157
63,2008,0,5487
63,2009,4,5514
63,2010,18,5639
63,2011,7,5713
63,2012,8,5604
63,2013,5,5438
63,2014,4,5082
63,2015,4,5311
63,2016,8,5567
64,2001,0,3706
64,2002,0,3871
64,2003,0,3868
64,2004,3,3963
64,2005,6,3996
64,2006,0,4455
64,2007,2,5005
64,2008,3,5075
64,2009,4,5424
64,2010,13,5449
64,2011,7,5568
64,2012,13,5625
64,2013,4,5556
64,2014,2,5373
64,2015,3,5017
64,2016,7,5247
65,2001,0,3561
65,2002,0,3633
65,2003,0,3812
65,2004,3,3769
65,2005,3,3897
65,2006,1,3939
65,2007,0,4375
65,2008,1,4936
65,2009,6,4989
65,2010,12,5353
65,2011,7,5365
65,2012,5,5526
65,2013,4,5536
65,2014,4,5493
65,2015,5,5294
65,2016,7,4971
66,2001,0,3363
66,2002,0,3490
66,2003,0,3552
66,2004,4,3733
66,2005,3,3706
66,2006,1,3828
66,2007,0,3850
66,2008,0,4319
66,2009,2,4887
66,2010,15,4927
66,2011,12,5264
66,2012,7,5300
66,2013,3,5453
66,2014,5,5483
66,2015,3,5411
66,2016,5,5239
67,2001,1,3246
67,2002,0,3305
67,2003,0,3410
67,2004,3,3477
67,2005,2,3668
67,2006,2,3627
67,2007,1,3772
67,2008,1,3804
67,2009,3,4257
67,2010,13,4823
67,2011,5,4865
67,2012,7,5185
67,2013,2,5227
67,2014,5,5372
67,2015,3,5385
67,2016,4,5314
68,2001,0,3243
68,2002,0,3180
68,2003,1,3241
68,2004,3,3342
68,2005,4,3416
68,2006,2,3590
68,2007,1,3525
68,2008,0,3710
68,2009,3,3771
68,2010,8,4197
68,2011,6,4761
68,2012,7,4802
68,2013,3,5085
68,2014,3,5162
68,2015,6,5280
68,2016,8,5304
69,2001,0,3369
69,2002,0,3184
69,2003,0,3111
69,2004,0,3166
69,2005,1,3261
69,2006,1,3347
69,2007,3,3511
69,2008,0,3446
69,2009,1,3667
69,2010,5,3721
69,2011,9,4141
69,2012,5,4691
69,2013,1,4741
69,2014,3,5009
69,2015,5,5085
69,2016,3,5177
70,2001,0,3458
70,2002,1,3293
70,2003,0,3095
70,2004,3,3055
70,2005,1,3089
70,2006,1,3196
70,2007,1,3265
70,2008,1,3457
70,2009,2,3399
70,2010,8,3614
70,2011,4,3662
70,2012,4,4090
70,2013,1,4631
70,2014,1,4658
70,2015,4,4961
70,2016,2,4982
71,2001,0,3422
71,2002,0,3376
71,2003,0,3233
71,2004,2,3009
71,2005,4,2987
71,2006,0,3026
71,2007,1,3139
71,2008,1,3209
71,2009,3,3402
71,2010,5,3346
71,2011,6,3545
71,2012,2,3600
71,2013,4,4025
71,2014,4,4535
71,2015,3,4564
71,2016,5,4881
72,2001,0,3266
72,2002,0,3326
72,2003,1,3294
72,2004,3,3146
72,2005,3,2938
72,2006,2,2897
72,2007,0,2932
72,2008,2,3084
72,2009,2,3165
72,2010,9,3334
72,2011,2,3287
72,2012,6,3468
72,2013,0,3549
72,2014,3,3954
72,2015,2,4451
72,2016,9,4459
73,2001,0,3303
73,2002,1,3183
73,2003,0,3246
73,2004,2,3218
73,2005,4,3074
73,2006,2,2881
73,2007,1,2826
73,2008,1,2858
73,2009,0,3018
73,2010,8,3085
73,2011,1,3253
73,2012,3,3216
73,2013,2,3412
73,2014,3,3477
73,2015,0,3884
73,2016,2,4351
74,2001,0,3134
74,2002,0,3195
74,2003,1,3086
74,2004,0,3159
74,2005,2,3097
74,2006,1,2990
74,2007,1,2797
74,2008,1,2758
74,2009,1,2784
74,2010,7,2950
74,2011,7,3012
74,2012,4,3148
74,2013,0,3119
74,2014,0,3333
74,2015,1,3391
74,2016,3,3809
75,2001,0,3368
75,2002,0,3017
75,2003,2,3083
75,2004,1,2976
75,2005,2,3075
75,2006,1,3016
75,2007,0,2879
75,2008,3,2723
75,2009,2,2693
75,2010,7,2730
75,2011,3,2868
75,2012,3,2934
75,2013,2,3053
75,2014,1,3035
75,2015,1,3245
75,2016,4,3312
76,2001,0,3308
76,2002,0,3272
76,2003,1,2914
76,2004,2,2983
76,2005,3,2884
76,2006,1,2985
76,2007,2,2908
76,2008,0,2797
76,2009,2,2617
76,2010,8,2600
76,2011,7,2646
76,2012,7,2782
76,2013,0,2852
76,2014,1,2955
76,2015,0,2939
76,2016,0,3155
77,2001,0,3279
77,2002,0,3183
77,2003,1,3133
77,2004,5,2805
77,2005,0,2888
77,2006,2,2766
77,2007,4,2878
77,2008,0,2815
77,2009,2,2711
77,2010,5,2530
77,2011,1,2513
77,2012,2,2573
77,2013,2,2693
77,2014,4,2772
77,2015,1,2840
77,2016,4,2859
78,2001,0,3228
78,2002,0,3129
78,2003,1,3043
78,2004,1,3019
78,2005,4,2712
78,2006,0,2783
78,2007,1,2649
78,2008,1,2750
78,2009,2,2706
78,2010,9,2599
78,2011,2,2452
78,2012,4,2407
78,2013,2,2476
78,2014,1,2611
78,2015,2,2672
78,2016,1,2743
79,2001,0,3193
79,2002,0,3079
79,2003,0,2990
79,2004,2,2894
79,2005,5,2886
79,2006,0,2595
79,2007,1,2659
79,2008,2,2535
79,2009,4,2647
79,2010,11,2588
79,2011,4,2490
79,2012,1,2364
79,2013,1,2314
79,2014,1,2391
79,2015,3,2517
79,2016,2,2553
80,2001,0,3271
80,2002,0,3014
80,2003,1,2899
80,2004,0,2841
80,2005,1,2716
80,2006,1,2738
80,2007,0,2468
80,2008,2,2536
80,2009,1,2420
80,2010,5,2519
80,2011,1,2466
80,2012,1,2367
80,2013,1,2252
80,2014,1,2218
80,2015,0,2284
80,2016,2,2408
81,2001,0,3309
81,2002,0,3080
81,2003,1,2834
81,2004,2,2716
81,2005,3,2673
81,2006,1,2546
81,2007,0,2586
81,2008,0,2331
81,2009,4,2404
81,2010,4,2290
81,2011,2,2396
81,2012,2,2346
81,2013,1,2236
81,2014,2,2132
81,2015,1,2102
81,2016,2,2174
82,2001,0,2478
82,2002,0,3086
82,2003,0,2851
82,2004,1,2619
82,2005,3,2549
82,2006,0,2509
82,2007,0,2401
82,2008,0,2425
82,2009,0,2206
82,2010,3,2246
82,2011,3,2142
82,2012,2,2269
82,2013,0,2230
82,2014,1,2118
82,2015,3,2023
82,2016,5,1988
83,2001,0,2241
83,2002,0,2301
83,2003,0,2815
83,2004,2,2645
83,2005,3,2421
83,2006,1,2384
83,2007,0,2331
83,2008,1,2214
83,2009,2,2253
83,2010,2,2050
83,2011,2,2109
83,2012,2,1978
83,2013,0,2122
83,2014,1,2082
83,2015,0,1980
83,2016,1,1900
84,2001,0,2151
84,2002,0,2032
84,2003,2,2121
84,2004,2,2564
84,2005,1,2424
84,2006,1,2219
84,2007,1,2212
84,2008,0,2154
84,2009,1,2044
84,2010,0,2098
84,2011,2,1903
84,2012,0,1949
84,2013,1,1843
84,2014,0,1971
84,2015,1,1952
84,2016,1,1857
85,2001,0,1791
85,2002,0,1944
85,2003,0,1828
85,2004,0,1940
85,2005,1,2349
85,2006,1,2200
85,2007,0,2016
85,2008,0,1994
85,2009,2,1960
85,2010,5,1872
85,2011,3,1928
85,2012,0,1727
85,2013,2,1771
85,2014,0,1710
85,2015,1,1808
85,2016,1,1797
86,2001,0,1613
86,2002,0,1587
86,2003,1,1756
86,2004,0,1663
86,2005,0,1749
86,2006,0,2123
86,2007,0,1977
86,2008,0,1835
86,2009,1,1793
86,2010,1,1768
86,2011,2,1688
86,2012,0,1735
86,2013,0,1560
86,2014,1,1592
86,2015,0,1559
86,2016,1,1637
87,2001,0,1529
87,2002,0,1443
87,2003,1,1407
87,2004,1,1576
87,2005,0,1463
87,2006,0,1568
87,2007,0,1890
87,2008,0,1783
87,2009,0,1648
87,2010,1,1606
87,2011,0,1601
87,2012,2,1491
87,2013,1,1567
87,2014,1,1388
87,2015,1,1416
87,2016,0,1391
88,2001,0,1273
88,2002,0,1331
88,2003,0,1253
88,2004,1,1224
88,2005,2,1378
88,2006,0,1279
88,2007,0,1363
88,2008,0,1659
88,2009,1,1565
88,2010,3,1450
88,2011,2,1416
88,2012,1,1404
88,2013,0,1318
88,2014,0,1412
88,2015,1,1234
88,2016,0,1268
89,2001,0,1024
89,2002,0,1100
89,2003,0,1148
89,2004,0,1091
89,2005,0,1052
89,2006,0,1182
89,2007,0,1107
89,2008,0,1183
89,2009,2,1435
89,2010,1,1370
89,2011,2,1248
89,2012,0,1227
89,2013,0,1204
89,2014,1,1157
89,2015,0,1247
89,2016,1,1090
90,2001,0,896
90,2002,0,862
90,2003,0,922
90,2004,0,973
90,2005,2,925
90,2006,0,871
90,2007,1,1007
90,2008,0,926
90,2009,0,1003
90,2010,1,1217
90,2011,0,1178
90,2012,0,1075
90,2013,0,1031
90,2014,1,1020
90,2015,0,988
90,2016,0,1062
91,2001,0,700
91,2002,0,738
91,2003,0,705
91,2004,0,762
91,2005,0,804
91,2006,0,760
91,2007,0,734
91,2008,0,849
91,2009,1,776
91,2010,0,843
91,2011,1,1007
91,2012,0,986
91,2013,0,873
91,2014,0,841
91,2015,1,863
91,2016,0,849
92,2001,0,558
92,2002,0,579
92,2003,0,597
92,2004,0,567
92,2005,0,590
92,2006,0,655
92,2007,0,604
92,2008,0,588
92,2009,0,703
92,2010,1,630
92,2011,0,671
92,2012,0,823
92,2013,0,785
92,2014,0,746
92,2015,0,688
92,2016,0,728
93,2001,0,422
93,2002,0,425
93,2003,0,436
93,2004,0,472
93,2005,0,453
93,2006,0,455
93,2007,0,520
93,2008,0,463
93,2009,0,482
93,2010,0,558
93,2011,2,507
93,2012,0,541
93,2013,0,646
93,2014,0,638
93,2015,0,616
93,2016,0,558
94,2001,0,300
94,2002,0,312
94,2003,0,315
94,2004,0,343
94,2005,1,357
94,2006,0,352
94,2007,0,350
94,2008,0,409
94,2009,0,366
94,2010,0,384
94,2011,0,454
94,2012,0,363
94,2013,0,421
94,2014,0,506
94,2015,0,496
94,2016,1,496
95,2001,0,230
95,2002,0,216
95,2003,0,240
95,2004,0,235
95,2005,0,249
95,2006,0,265
95,2007,0,282
95,2008,0,271
95,2009,0,313
95,2010,1,274
95,2011,0,283
95,2012,0,330
95,2013,0,267
95,2014,0,327
95,2015,0,370
95,2016,0,362
96,2001,0,145
96,2002,0,153
96,2003,0,166
96,2004,0,168
96,2005,0,157
96,2006,0,183
96,2007,0,196
96,2008,0,205
96,2009,0,195
96,2010,0,227
96,2011,0,207
96,2012,0,212
96,2013,0,235
96,2014,0,199
96,2015,0,234
96,2016,0,266
97,2001,0,120
97,2002,0,93
97,2003,0,108
97,2004,0,124
97,2005,0,123
97,2006,0,118
97,2007,0,131
97,2008,0,135
97,2009,0,153
97,2010,0,149
97,2011,0,167
97,2012,0,157
97,2013,1,148
97,2014,0,170
97,2015,0,140
97,2016,0,162
