Segment,Accidents ,Miles,AADT
951,0,0.91,897.25
952,0,0.91,897.25
953,0,0.85,912.8461538
954,0,0.97,912.8461538
955,0,1.91,912.8461538
956,0,0.79,912.8461538
957,0,0.87,912.8461538
958,1,0.62,921.5384615
959,0,0.91,921.5384615
960,0,0.71,921.5384615
961,1,0.67,928.6153846
962,0,0.87,930.4615385
963,0,0.09,931.2307692
964,0,0.9,941.5384615
965,2,0.88,941.5384615
966,1,0.93,941.5384615
967,1,0.89,941.5384615
968,4,0.82,943.2307692
969,1,0.9,951.0769231
970,3,2.42,951.0769231
971,0,0.03,951.0769231
972,6,2.84,951.0769231
973,1,1.89,951.8461538
974,4,1.01,976.6153846
975,1,0.9,977.5384615
976,6,1.24,977.5384615
977,4,1.9,977.5384615
978,0,0.89,977.5384615
979,0,0.88,977.5384615
980,4,3.08,989.6153846
981,0,0.91,990.4615385
982,1,0.89,990.4615385
983,1,0.92,990.4615385
984,0,0.91,990.4615385
985,0,0.94,1006.384615
986,3,2.26,1006.384615
987,1,0.75,1006.384615
988,0,0.85,1043.615385
989,1,1.07,1046.384615
990,0,0.21,1046.384615
991,1,0.64,1048.615385
992,3,0.92,1048.615385
993,2,0.83,1048.615385
994,0,0.17,1048.615385
995,3,0.92,1049.384615
996,2,0.89,1049.384615
997,2,1.96,1049.384615
998,1,0.9,1049.384615
999,1,0.91,1049.384615
1000,1,0.16,1050.923077
1001,0,0.34,1050.923077
1002,0,0.32,1050.923077
1003,2,0.59,1050.923077
1004,2,1.2,1050.923077
1005,0,0.69,1050.923077
1006,0,0.08,1050.923077
1007,0,0.93,1050.923077
1008,1,0.84,1050.923077
1009,0,0.46,1050.923077
1010,1,0.44,1050.923077
1011,2,1.97,1050.923077
1012,1,3.12,1065.230769
1013,0,0.9,1103.375
1014,1,0.9,1103.375
1015,1,0.91,1103.375
1016,0,0.9,1103.375
1017,0,0.9,1103.375
1018,0,0.9,1103.375
1019,1,0.71,1103.692308
1020,0,0.06,1103.692308
1021,0,1.49,1103.692308
1022,0,0.03,1103.692308
1023,4,2.78,1106.769231
1024,2,1.19,1106.769231
1025,0,2.97,1106.769231
1026,0,0.24,1106.769231
1027,3,1.92,1106.769231
1028,4,2.88,1106.769231
1029,1,0.92,1109.076923
1030,1,0.9,1109.076923
1031,1,0.91,1109.076923
1032,0,0.9,1139.384615
1033,4,2.67,1139.384615
1034,1,0.9,1139.384615
1035,3,2.92,1139.384615
1036,0,1.9,1139.384615
1037,2,0.9,1139.384615
1038,0,0.9,1140.923077
1039,0,0.9,1140.923077
1040,0,0.68,1145.846154
1041,2,0.96,1145.846154
1042,2,0.92,1145.846154
