Segment,Miles,Accidents
1371,3.23,5
1372,0.03,0
1373,0.04,0
1374,0.17,0
1375,0.01,0
1376,1.11,2
1377,0.89,3
1378,0.9,2
1379,1.02,1
1380,2.86,0
1381,0.55,0
1382,0.95,1
1383,1.07,0
1384,0.9,0
1385,0.86,1
1386,0.92,0
1387,1.1,0
1388,0.73,1
1389,1.96,1
1390,0.04,0
1391,0.91,1
1392,1.87,1
1393,2.49,1
1394,0.76,0
1395,0.06,0
1396,0.02,0
1397,0.9,0
1398,0.91,0
1399,0.89,3
1400,1.37,3
1401,1.41,0
1402,1.02,1
1403,2.54,2
1404,0.41,0
1405,4.1,2
1406,0.48,1
1407,2.51,1
1408,0.7,1
1409,0.41,0
1410,0.06,1
1411,1.17,1
1412,0.15,0
1413,0.91,0
1414,1.48,2
1415,0.01,1
1416,0.03,0
1417,0.01,0
1418,1,0
1419,0.1,0
1420,0.31,0
1421,0.04,0
1422,0.03,0
1423,0.27,0
1424,0.91,3
1425,0.91,1
1426,0.9,0
1427,0.91,0
1428,0.91,3
1429,0.87,3
1430,0.03,1
1431,0.04,0
1432,0.37,2
1433,0.13,0
1434,0.56,0
1435,0.05,0
1436,3.75,2
1437,1.25,1
1438,1.25,1
1439,1.01,0
1440,1.93,0
1441,0.44,2
1442,1.24,1
1443,0.05,0
1444,0.95,2
1445,0.24,4
1446,0.17,0
1447,0.06,0
1448,0.55,2
1449,0.43,0
1450,0.65,1
1451,0.38,2
1452,0.37,0
1453,5.55,21
1454,0.01,0
1455,2.28,7
1456,1.7,2
1457,0.11,0
1458,0.21,0
1459,0.57,3
1460,0.74,0
1461,0.04,0
1462,0.48,4
1463,1.33,3
1464,0.89,1
1465,2.3,10
1466,1.29,2
1467,0.39,1
1468,0.67,2
1469,1.01,0
1470,0.32,0
1471,1.3,11
1472,0.9,3
1473,1.88,5
1474,0.88,3
1475,0.89,4
1476,0.16,0
1477,0.08,0
1478,1.47,4
1479,1.04,1
1480,3.79,8
1481,0.03,0
1482,0.13,0
1483,0.85,3
1484,0.97,2
1485,0.64,4
1486,0.89,5
1487,1.35,10
1488,1.76,8
1489,0.02,0
1490,0.89,3
1491,0.05,0
1492,0.09,0
1493,1.68,9
1494,0.04,0
1495,0.92,4
1496,0.15,1
1497,0.14,0
1498,0.18,1
1499,0.13,0
1500,2.87,38
1501,0.2,0
1502,3.04,0
1503,1.67,0
1504,2.09,0
1505,10.6,3
1506,0.3,0
1507,1.93,2
1508,0.92,4
1509,1,1
1510,0.2,0
1511,0.02,0
1512,0.41,0
1513,0.87,0
1514,0.89,0
1515,5.22,0
1516,2.7,1
1517,0.41,0
1518,0.43,0
1519,0.69,0
1520,1.17,0
1521,0.15,0
1522,0.31,0
1523,0.4,1
1524,1.17,0
1525,1.65,2
1526,1.36,0
1527,0.32,1
1528,0.89,0
1529,0.85,0
1530,0.86,0
1531,1.85,0
1532,0.74,0
1533,0.9,0
1534,0.91,0
1535,1.88,0
1536,0.91,0
1537,5.07,2
1538,0.32,0
1539,4.94,1
1540,1.19,1
1541,0.37,0
1542,0.76,0
1543,5.43,1
1544,0.26,0
1545,1.64,0
1546,2.28,1
1547,1.51,0
1548,3.96,0
1549,0.65,0
1550,0.91,0
1551,1.91,1
1552,0.9,0
1553,0.93,1
1554,0.16,0
1555,0.91,0
1556,0.88,0
1557,0.91,2
1558,0.88,0
1559,0.93,0
1560,0.88,0
1561,0.09,0
1562,0.71,1
1563,3.38,1
1564,3.48,0
1565,2.92,0
1566,0.95,1
1567,2.3,1
1568,0.94,0
1569,0.86,0
1570,0.99,2
1571,0.55,0
1572,2.16,1
1573,0.93,0
1574,1.22,0
1575,2.28,0
1576,0.79,0
1577,2.14,1
1578,1.41,0
1579,0.1,0
1580,7.33,1
1581,0.03,0
1582,1.98,6
1583,0.9,1
1584,0.42,0
1585,0.6,1
1586,1.81,0
1587,3.26,0
1588,1.22,0
1589,1.96,2
1590,4.28,2
1591,0.53,1
1592,6.17,4
1593,0.86,0
1594,0.89,0
1595,1.3,0
1596,1.1,0
1597,1.07,0
1598,0.93,0
1599,0.89,0
1600,0.14,0
1601,0.64,0
1602,4.01,3
